diet,initwt,wt,growth,length,diam,prickle,yield
1,28.2,37,0.209,0.307,32.6,61.5,75.8
1,27.5,39.8,0.24,0.293,31.9,54.8,77.5
1,33.2,44.2,0.237,0.306,34.6,68.9,71.8
1,27.2,37,0.214,0.262,33.3,63,74.9
1,28.6,41.2,0.228,0.325,31.4,51.9,74.8
1,35.5,43.6,0.307,0.296,31,7.4,79.1
1,32,44.6,0.279,0.296,33.3,59.5,75.5
1,28.2,40.4,0.249,0.261,33.6,66.7,81.8
1,29,38.8,0.193,0.317,31.7,52.1,78.7
1,26.2,35,0.202,0.303,30.7,51,76
1,29,41,0.186,0.244,31.3,50.3,77.3
1,30,40.8,0.24,0.263,33.3,60.9,81
1,30.6,38.6,0.251,0.328,29.8,41.4,83.9
1,33,45,0.109,0.292,28.7,44.3,84.3
1,31,41.8,0.212,0.266,34.4,76.7,76.8
2,34.3,44.8,0.258,0.406,30.2,46.5,77.2
2,29.2,39,0.305,0.435,32.8,64.3,81.3
2,30.6,43.6,0.226,0.325,32.9,68.2,76.9
2,29.2,40,0.319,0.345,29.2,38.7,81.4
2,32.2,43,0.351,0.338,28.1,31.9,83.8
2,33,42.6,0.24,0.463,35,74,75.7
2,35,45,0.272,0.372,28.9,40.4,78.5
2,30,46.2,0.235,0.369,30.5,52.6,69.8
2,32.5,42.2,0.274,0.358,31.1,48.7,76.7
2,29.6,45.8,0.261,0.383,34,70.4,77.6
2,31,44.8,0.24,0.394,32.4,61.6,74.5
2,34.2,45.8,0.244,0.437,33,58.5,81.6
2,30,36.6,0.256,0.434,31.3,47.9,76.6
2,34,43,0.256,0.348,33.6,61.9,72.9
2,33,44.2,0.249,0.378,32.2,58.4,82.4
