Make ,lp100km , mass.kg , List price 
Alpha Romeo,9.5 , 1242 , 38500
Audi A3,8.8 , 1160 , 38700
BA Falcon Futura ,12.9, 1692 , 37750
Chrysler PT Cruiser Classic,9.8 , 1412 , 33400
Commodore VY Acclaim ,12.3, 1558 , 37510
Falcon AU II Futura,11.4, 1545 , 34860
Holden Barina,7.3 , 1062 , 13990
Hyundai Getz ,6.9 , 980, 13990
Hyundai LaVita ,8.9 , 1248 , 23990
Kia Rio,7.3 , 1064 , 14990
Mazda 2,7.9 , 1068 , 17790
Mazda Premacy,10.2, 1308 , 27690
Mini Cooper,8.3 , 1050 , 32650
Mitsubishi Magna Advance ,10.9, 1491 , 33990
Mitsubishi Verada AWD,12.4, 1643 , 46460
Peugeot 307,9.1 , 1219 , 31490
Suzuki Liana ,8.3 , 1140 , 19990
Toyota Avalon CSX,10.8, 1520 , 34490
Toyota Camry Ateva V6,11.5, 1505 , 35990
Toyota Corolla Ascent,7.9 , 1103 , 21790
Toyota Corolla Conquest,7.8 , 1081 , 23590
